motif ic_mean ic_median lib lab_mean lab_median lab
MA0133.1 0.6151 0.5488 JASPAR 4 4 4
MA0135.1 0.7996 0.727 JASPAR 4 3 4
MA0136.1 0.7678 0.4716 JASPAR 4 4 4
MA0139.1 0.8945 0.7977 JASPAR 3 3 3
MA0142.1 0.9801 0.8941 JASPAR 3 3 3
MA0149.1 1.6376 1.6685 JASPAR 1 1 1
MA0062.2 1.1951 1.3296 JASPAR 2 2 2
MA0039.2 1.2585 1.3336 JASPAR 2 2 2
MA0138.2 1.0945 1.1771 JASPAR 2 2 2
MA0002.2 0.9399 0.7299 JASPAR 3 3 3
MA0047.2 1.0885 1.1343 JASPAR 2 2 2
MA0112.2 0.6655 0.5584 JASPAR 4 4 4
MA0065.2 0.7688 0.6582 JASPAR 4 4 4
MA0151.1 1.1458 1.3879 JASPAR 2 2 2
MA0152.1 0.9979 1.0963 JASPAR 3 2 3
MA0153.1 0.5926 0.648 JASPAR 4 4 4
MA0155.1 0.8281 0.7295 JASPAR 4 3 4
MA0156.1 0.7961 0.954 JASPAR 4 3 4
MA0157.1 0.7728 0.8599 JASPAR 4 3 4
MA0158.1 0.6204 0.6147 JASPAR 4 4 4
MA0159.1 0.6378 0.6177 JASPAR 4 4 4
MA0160.1 0.696 0.7835 JASPAR 4 3 4
MA0161.1 1.1621 1.2951 JASPAR 2 2 2
MA0163.1 0.8418 0.8359 JASPAR 4 3 4
MA0164.1 1.1404 1.3206 JASPAR 2 2 2
MA0018.2 0.6172 0.5996 JASPAR 4 4 4
MA0099.2 0.8068 0.8133 JASPAR 4 3 4
MA0259.1 1.0836 1.3268 JASPAR 3 2 3
MA0442.1 0.8751 0.9318 JASPAR 3 3 3
MA0141.2 1.0754 1.3901 JASPAR 3 2 3
MA0145.2 0.8317 0.5814 JASPAR 4 4 4
MA0146.2 0.9123 0.5546 JASPAR 3 4 4
MA0461.1 1.6606 1.9944 JASPAR 1 1 1
MA0462.1 1.2381 1.142 JASPAR 2 2 2
MA0463.1 0.9632 0.9991 JASPAR 3 3 3
MA0464.1 1.1681 1.1797 JASPAR 2 2 2
MA0465.1 1.2419 1.0575 JASPAR 2 3 3
MA0466.1 1.2456 1.0314 JASPAR 2 3 3
MA0467.1 1.1665 1.1519 JASPAR 2 2 2
MA0468.1 1.3639 1.5985 JASPAR 1 1 1
MA0469.1 0.9729 0.7926 JASPAR 3 3 3
MA0470.1 1.1873 1.3658 JASPAR 2 2 2
MA0471.1 1.2048 1.0275 JASPAR 2 3 3
MA0472.1 0.9091 0.5559 JASPAR 3 4 4
MA0473.1 1.0578 0.9564 JASPAR 3 3 3
MA0474.1 1.1977 1.2885 JASPAR 2 2 2
MA0475.1 1.1889 1.1656 JASPAR 2 2 2
MA0476.1 1.2388 1.6043 JASPAR 2 1 2
MA0477.1 1.2935 1.782 JASPAR 2 1 2
MA0478.1 1.2694 1.6938 JASPAR 2 1 2
MA0479.1 1.248 1.4371 JASPAR 2 2 2
MA0480.1 1.1951 1.2801 JASPAR 2 2 2
MA0481.1 0.912 0.8768 JASPAR 3 3 3
MA0482.1 1.2029 1.2704 JASPAR 2 2 2
MA0483.1 1.2176 1.0344 JASPAR 2 3 3
MA0484.1 0.8908 0.7466 JASPAR 3 3 3
MA0485.1 1.0319 1.0502 JASPAR 3 3 3
MA0486.1 0.966 1.0413 JASPAR 3 3 3
MA0488.1 1.1625 1.0936 JASPAR 2 2 2
MA0489.1 0.994 0.6065 JASPAR 3 4 4
MA0490.1 1.2629 1.6177 JASPAR 2 1 2
MA0491.1 1.3381 1.7569 JASPAR 1 1 1
MA0492.1 1.0008 1.0929 JASPAR 3 2 3
MA0493.1 1.2031 1.139 JASPAR 2 2 2
MA0494.1 0.7089 0.7747 JASPAR 4 3 4
MA0495.1 0.77 0.43 JASPAR 4 4 4
MA0496.1 0.9243 0.5521 JASPAR 3 4 4
MA0497.1 0.9291 0.9312 JASPAR 3 3 3
MA0498.1 0.8682 0.3729 JASPAR 3 4 4
MA0499.1 1.007 0.8845 JASPAR 3 3 3
MA0500.1 1.1903 1.3406 JASPAR 2 2 2
MA0501.1 1.1609 1.2056 JASPAR 2 2 2
MA0502.1 0.9635 0.7856 JASPAR 3 3 3
MA0503.1 1.141 1.1223 JASPAR 2 2 2
MA0504.1 1.0492 0.9869 JASPAR 3 3 3
MA0505.1 0.9864 0.9269 JASPAR 3 3 3
MA0506.1 1.2951 1.4237 JASPAR 2 2 2
MA0507.1 1.1544 1.4194 JASPAR 2 2 2
MA0508.1 1.0117 0.8783 JASPAR 3 3 3
MA0509.1 1.0757 1.0928 JASPAR 3 2 3
MA0510.1 0.9028 0.8892 JASPAR 3 3 3
MA0511.1 0.8777 0.5404 JASPAR 3 4 4
MA0512.1 1.1617 1.1327 JASPAR 2 2 2
MA0513.1 1.0389 0.9822 JASPAR 3 3 3
MA0514.1 1.293 1.3087 JASPAR 2 2 2
MA0515.1 1.2473 1.204 JASPAR 2 2 2
MA0516.1 0.9064 0.8371 JASPAR 3 3 3
MA0517.1 1.0715 1.0571 JASPAR 3 3 3
MA0518.1 0.9569 0.9097 JASPAR 3 3 3
MA0519.1 1.2105 1.5045 JASPAR 2 2 2
MA0520.1 0.9297 0.6583 JASPAR 3 4 4
MA0521.1 1.1943 1.2927 JASPAR 2 2 2
MA0522.1 1.1694 0.9658 JASPAR 2 3 3
MA0523.1 0.9597 0.9104 JASPAR 3 3 3
MA0524.1 0.85 0.7159 JASPAR 3 3 3
MA0525.1 0.6967 0.4875 JASPAR 4 4 4
MA0526.1 1.2308 0.9855 JASPAR 2 3 3
MA0527.1 0.9392 0.6997 JASPAR 3 3 3
MA0528.1 0.7647 0.722 JASPAR 4 3 4
MA0007.2 0.8834 0.5705 JASPAR 3 4 4
MA0102.3 1.2108 0.9933 JASPAR 2 3 3
MA0024.2 1.1638 1.0773 JASPAR 2 3 3
MA0154.2 1.2015 1.0493 JASPAR 2 3 3
MA0162.2 0.9906 1.0407 JASPAR 3 3 3
MA0076.2 1.1834 1.2354 JASPAR 2 2 2
MA0258.2 0.8732 0.8837 JASPAR 3 3 3
MA0098.2 0.9007 0.7148 JASPAR 3 3 3
MA0148.3 0.9168 0.9734 JASPAR 3 3 3
MA0035.3 1.2347 1.467 JASPAR 2 2 2
MA0036.2 0.9553 0.6784 JASPAR 3 4 4
MA0037.2 1.7168 1.9912 JASPAR 1 1 1
MA0114.2 0.9092 0.9808 JASPAR 3 3 3
MA0050.2 0.8468 0.5766 JASPAR 3 4 4
MA0058.2 1.3008 1.636 JASPAR 2 1 2
MA0052.2 0.9882 1.0169 JASPAR 3 3 3
MA0100.2 1.3147 1.6383 JASPAR 2 1 2
MA0147.2 1.2983 1.5008 JASPAR 2 2 2
MA0104.3 1.6057 1.9746 JASPAR 1 1 1
MA0150.2 1.0411 1.0304 JASPAR 3 3 3
MA0105.3 1.2396 1.7077 JASPAR 2 1 2
MA0060.2 0.9239 0.7058 JASPAR 3 3 3
MA0014.2 0.7071 0.7691 JASPAR 4 3 4
MA0080.3 0.9423 0.7803 JASPAR 3 3 3
MA0143.3 1.6705 1.9757 JASPAR 1 1 1
MA0079.3 1.2084 1.1499 JASPAR 2 2 2
MA0083.2 0.8577 0.8323 JASPAR 3 3 3
MA0137.3 1.3197 1.6389 JASPAR 2 1 2
MA0144.2 1.1852 1.3479 JASPAR 2 2 2
MA0140.2 0.7915 0.472 JASPAR 4 4 4
MA0003.2 0.8582 0.8335 JASPAR 3 3 3
MA0106.2 1.1249 0.9955 JASPAR 2 3 3
MA0093.2 1.2166 1.3296 JASPAR 2 2 2
MA0095.2 1.1944 1.2988 JASPAR 2 2 2
MA0103.2 1.4658 1.9888 JASPAR 1 1 1
MA0591.1 1.1073 1.4715 JASPAR 2 2 2
MA0592.1 1.2115 1.5865 JASPAR 2 1 2
MA0593.1 1.2291 1.5768 JASPAR 2 1 2
MA0594.1 1.1676 1.3293 JASPAR 2 2 2
MA0595.1 1.1119 1.0955 JASPAR 2 2 2
MA0596.1 1.0788 1.1571 JASPAR 3 2 3
MA0597.1 0.6887 0.5382 JASPAR 4 4 4
MA0598.1 1.7275 1.975 JASPAR 1 1 1
MA0599.1 1.2839 1.4635 JASPAR 2 2 2
MA0600.1 0.8518 0.8791 JASPAR 3 3 3
MA0113.2 0.9325 0.9592 JASPAR 3 3 3
SIX5_disc1 1.4655 1.6497 ENCODE 1 1 1
MYC_disc1 1.7193 2 ENCODE 1 1 1
SRF_disc1 1.633 2 ENCODE 1 1 1
AP1_disc1 1.5113 1.6262 ENCODE 1 1 1
SIX5_disc2 1.6009 2 ENCODE 1 1 1
NFY_disc1 0.9362 0.5832 ENCODE 3 4 4
ATF3_disc1 1.6288 1.923 ENCODE 1 1 1
NFE2_disc1 1.5337 1.7304 ENCODE 1 1 1
NFE2_disc2 1.582 1.5853 ENCODE 1 1 1
BRCA1_disc1 1.5453 1.7715 ENCODE 1 1 1
AP1_disc2 1.2588 1.4467 ENCODE 2 2 2
CTCF_disc1 0.7832 0.7351 ENCODE 4 3 4
CEBPB_disc1 1.3824 1.2546 ENCODE 1 2 2
ZBTB33_disc1 1.8037 2 ENCODE 1 1 1
ETS_disc1 1.5979 1.792 ENCODE 1 1 1
AP1_disc3 1.4921 2 ENCODE 1 1 1
NRF1_disc1 1.1765 1.2893 ENCODE 2 2 2
REST_disc1 1.2912 1.4478 ENCODE 2 2 2
YY1_disc1 0.76 0.4642 ENCODE 4 4 4
RAD21_disc1 0.8295 0.8581 ENCODE 4 3 4
ETS_disc2 1.5003 1.804 ENCODE 1 1 1
MAF_disc1 1.7282 2 ENCODE 1 1 1
SP2_disc1 1.2039 1.0665 ENCODE 2 3 3
IRF_disc1 1.3257 1.5502 ENCODE 2 1 2
REST_disc2 1.6064 2 ENCODE 1 1 1
ETS_disc3 1.7388 2 ENCODE 1 1 1
BCL_disc1 1.3852 1.4781 ENCODE 1 2 2
SP1_disc1 0.6328 0.29 ENCODE 4 4 4
NFKB_disc1 1.5548 1.6464 ENCODE 1 1 1
RFX5_disc1 1.4584 1.6995 ENCODE 1 1 1
SMC3_disc1 1.0865 1.0166 ENCODE 2 3 3
TAL1_disc1 0.6842 0.3424 ENCODE 4 4 4
CHD2_disc1 1.7157 1.9325 ENCODE 1 1 1
SPI1_disc1 1.68 1.8428 ENCODE 1 1 1
RFX5_disc2 1.2526 1.2771 ENCODE 2 2 2
GATA_disc1 1.271 1.5836 ENCODE 2 1 2
ELF1_disc1 1.4915 1.6413 ENCODE 1 1 1
POU2F2_disc1 1.1221 1.1532 ENCODE 2 2 2
BATF_disc1 1.2941 2 ENCODE 2 1 2
SIX5_disc3 1.8454 2 ENCODE 1 1 1
NR2C2_disc1 1.5008 1.6524 ENCODE 1 1 1
HNF4_disc1 0.9747 1.2317 ENCODE 3 2 3
BHLHE40_disc1 1.3051 1.4338 ENCODE 2 2 2
STAT_disc1 1.4915 1.819 ENCODE 1 1 1
SPI1_disc2 1.7996 2 ENCODE 1 1 1
THAP1_disc1 0.9253 0.768 ENCODE 3 3 3
MXI1_disc1 1.1491 1.3784 ENCODE 2 2 2
TCF7L2_disc1 1.3228 2 ENCODE 2 1 2
REST_disc3 1.426 1.5733 ENCODE 1 1 1
CTCF_disc2 1.7731 2 ENCODE 1 1 1
SP2_disc2 0.7315 0.4585 ENCODE 4 4 4
EBF1_disc1 1.4149 1.4334 ENCODE 1 2 2
STAT_disc2 1.2517 2 ENCODE 2 1 2
PRDM1_disc1 1.6392 2 ENCODE 1 1 1
ZNF143_disc1 1.6214 2 ENCODE 1 1 1
SMARC_disc1 1.4073 1.7234 ENCODE 1 1 1
CTCF_disc3 1.6941 2 ENCODE 1 1 1
POU5F1_disc1 0.9719 0.8619 ENCODE 3 3 3
EP300_disc1 1.2575 1.8939 ENCODE 2 1 2
FOXA_disc1 1.3933 1.3239 ENCODE 1 2 2
ESRRA_disc1 0.8538 0.9307 ENCODE 3 3 3
RAD21_disc2 0.9483 0.9903 ENCODE 3 3 3
PBX3_disc1 1.2515 1.3922 ENCODE 2 2 2
SREBP_disc1 1.2293 1.4036 ENCODE 2 2 2
BCL_disc2 1.2941 1.6623 ENCODE 2 1 2
MYC_disc2 0.9829 1.0806 ENCODE 3 3 3
ATF3_disc2 0.7189 0.5584 ENCODE 4 4 4
CTCF_disc4 1.0252 1.0887 ENCODE 3 3 3
E2F_disc1 1.4712 1.6553 ENCODE 1 1 1
ZNF143_disc2 1.4642 1.5611 ENCODE 1 1 1
ETS_disc4 1.2225 1.2129 ENCODE 2 2 2
EP300_disc2 0.7592 0.3891 ENCODE 4 4 4
NR3C1_disc1 0.9215 0.6907 ENCODE 3 4 4
MYC_disc3 1.2783 1.872 ENCODE 2 1 2
RAD21_disc3 1.7025 2 ENCODE 1 1 1
STAT_disc3 1.3934 1.6519 ENCODE 1 1 1
PAX5_disc1 0.6359 0.5986 ENCODE 4 4 4
NR3C1_disc2 1.3081 1.8021 ENCODE 2 1 2
SIN3A_disc1 1.4412 1.5817 ENCODE 1 1 1
SIN3A_disc2 1.397 1.4664 ENCODE 1 2 2
MEF2_disc1 0.866 0.7966 ENCODE 3 3 3
MYC_disc4 1.3986 1.4178 ENCODE 1 2 2
NR3C1_disc3 1.6259 1.6872 ENCODE 1 1 1
HSF_disc1 1.212 1.0394 ENCODE 2 3 3
IRF_disc2 1.279 1.5665 ENCODE 2 1 2
CTCFL_disc1 1.6161 1.6908 ENCODE 1 1 1
NR3C1_disc4 1.1159 1.0384 ENCODE 2 3 3
PAX5_disc2 1.2514 1.1195 ENCODE 2 2 2
BCL_disc3 1.6215 1.95 ENCODE 1 1 1
RXRA_disc1 1.1599 1.2151 ENCODE 2 2 2
HDAC2_disc1 1.1211 1.2597 ENCODE 2 2 2
CTCF_disc5 0.6992 0.6688 ENCODE 4 4 4
TATA_disc1 1.3417 1.7064 ENCODE 1 1 1
CTCF_disc6 1.7018 2 ENCODE 1 1 1
TRIM28_disc1 1.3595 2 ENCODE 1 1 1
TFAP2_disc1 1.2803 1.5199 ENCODE 2 1 2
SMARC_disc2 1.5609 1.8207 ENCODE 1 1 1
TCF7L2_disc2 1.4551 1.5271 ENCODE 1 1 1
AP1_disc4 1.31 1.2588 ENCODE 2 2 2
REST_disc4 0.6783 0.61 ENCODE 4 4 4
PRDM1_disc2 1.3599 2 ENCODE 1 1 1
CTCF_disc7 0.8 0.8643 ENCODE 4 3 4
MAF_disc2 1.1152 1.2205 ENCODE 2 2 2
NR2C2_disc2 1.3477 1.4147 ENCODE 1 2 2
CCNT2_disc1 0.646 0.2589 ENCODE 4 4 4
CTCF_disc8 0.6757 0.6224 ENCODE 4 4 4
MYC_disc5 1.3807 1.5388 ENCODE 1 1 1
RAD21_disc4 1.283 1.333 ENCODE 2 2 2
TAL1_disc2 1.7206 2 ENCODE 1 1 1
RXRA_disc2 0.8621 0.7475 ENCODE 3 3 3
IRF_disc3 1.2072 1.2599 ENCODE 2 2 2
FOXA_disc2 1.7051 2 ENCODE 1 1 1
E2F_disc2 1.5499 1.7403 ENCODE 1 1 1
GATA_disc2 1.2198 1.8266 ENCODE 2 1 2
CTCF_disc9 0.642 0.5785 ENCODE 4 4 4
TATA_disc2 1.3162 1.4757 ENCODE 2 2 2
TATA_disc3 1.2557 1.2204 ENCODE 2 2 2
BCL_disc4 1.0256 0.9626 ENCODE 3 3 3
RAD21_disc5 0.6927 0.5652 ENCODE 4 4 4
EGR1_disc1 1.7235 2 ENCODE 1 1 1
EP300_disc3 0.9588 0.8672 ENCODE 3 3 3
SIN3A_disc3 1.7976 2 ENCODE 1 1 1
BCL_disc5 0.9021 0.9021 ENCODE 3 3 3
HMGN3_disc1 1.3075 1.95 ENCODE 2 1 2
AP1_disc5 1.476 2 ENCODE 1 1 1
AP1_disc6 1.048 0.8768 ENCODE 3 3 3
PBX3_disc2 1.3519 1.3812 ENCODE 1 2 2
HEY1_disc1 1.3672 1.7106 ENCODE 1 1 1
SIRT6_disc1 1.1983 1.0974 ENCODE 2 2 2
TCF12_disc1 1.3546 1.7127 ENCODE 1 1 1
PBX3_disc3 0.6693 0.3884 ENCODE 4 4 4
HNF4_disc2 1.6639 2 ENCODE 1 1 1
REST_disc5 0.7757 1.0023 ENCODE 4 3 4
MYC_disc6 1.78 2 ENCODE 1 1 1
NFKB_disc2 0.9069 0.5758 ENCODE 3 4 4
IRF_disc4 0.9558 0.8753 ENCODE 3 3 3
TCF12_disc2 1.2142 1.1552 ENCODE 2 2 2
NFKB_disc3 1.327 1.5199 ENCODE 1 1 1
SETDB1_disc1 0.8712 0.6756 ENCODE 3 4 4
BCL_disc6 1.3745 1.4163 ENCODE 1 2 2
ZBTB33_disc2 0.8318 0.4575 ENCODE 4 4 4
IRF_disc5 1.2573 1.0839 ENCODE 2 3 3
HDAC2_disc2 1.2644 1.2101 ENCODE 2 2 2
RAD21_disc6 0.5361 0.665 ENCODE 4 4 4
PAX5_disc3 1.3071 1.2068 ENCODE 2 2 2
ETS_disc5 0.983 0.9957 ENCODE 3 3 3
E2F_disc3 0.9187 0.8228 ENCODE 3 3 3
CTCF_disc10 1.6892 2 ENCODE 1 1 1
RAD21_disc7 0.6304 0.4592 ENCODE 4 4 4
EP300_disc4 1.6537 2 ENCODE 1 1 1
TATA_disc4 1.4966 1.5437 ENCODE 1 1 1
NANOG_disc1 1.1242 1.1984 ENCODE 2 2 2
STAT_disc4 1.7302 2 ENCODE 1 1 1
REST_disc6 1.631 2 ENCODE 1 1 1
ZEB1_disc1 1.4639 1.8837 ENCODE 1 1 1
EGR1_disc2 1.3318 1.266 ENCODE 1 2 2
EP300_disc5 0.9182 0.955 ENCODE 3 3 3
RXRA_disc3 1.0713 0.8087 ENCODE 3 3 3
RAD21_disc8 0.6482 0.5325 ENCODE 4 4 4
MXI1_disc2 1.3219 1.8584 ENCODE 2 1 2
NANOG_disc2 0.6873 0.466 ENCODE 4 4 4
E2F_disc4 1.3488 1.4214 ENCODE 1 2 2
HDAC2_disc3 1.1493 0.9745 ENCODE 2 3 3
MEF2_disc2 1.7224 2 ENCODE 1 1 1
RFX5_disc3 1.7441 2 ENCODE 1 1 1
ZNF143_disc3 0.5949 0.4319 ENCODE 4 4 4
SMC3_disc2 1.7133 2 ENCODE 1 1 1
MYC_disc7 1.6921 1.789 ENCODE 1 1 1
ZBTB7A_disc1 1.567 1.5738 ENCODE 1 1 1
MEF2_disc3 1.6714 2 ENCODE 1 1 1
RAD21_disc9 0.642 0.4421 ENCODE 4 4 4
TATA_disc5 1.6918 2 ENCODE 1 1 1
NFKB_disc4 1.7321 2 ENCODE 1 1 1
RAD21_disc10 0.8907 0.651 ENCODE 3 4 4
PAX5_disc4 1.3118 1.2783 ENCODE 2 2 2
SETDB1_disc2 1.1431 1.2237 ENCODE 2 2 2
REST_disc7 1.682 2 ENCODE 1 1 1
SMC3_disc3 0.8081 0.6718 ENCODE 4 4 4
IRF_disc6 1.916 2 ENCODE 1 1 1
BATF_disc2 1.6019 2 ENCODE 1 1 1
MYC_disc8 1.0139 0.9468 ENCODE 3 3 3
THAP1_disc2 1.8318 2 ENCODE 1 1 1
SMC3_disc4 0.9711 0.8528 ENCODE 3 3 3
RXRA_disc4 1.219 1.099 ENCODE 2 2 2
SIX5_disc4 1.8429 2 ENCODE 1 1 1
NRF1_disc2 1.7112 2 ENCODE 1 1 1
BDP1_disc1 1.2753 1.3386 ENCODE 2 2 2
GATA_disc3 1.0709 0.9967 ENCODE 3 3 3
NFE2_disc3 0.8284 0.6217 ENCODE 4 4 4
HDAC2_disc4 1.2087 1.11 ENCODE 2 2 2
NFE2_disc4 0.8363 1.0002 ENCODE 4 3 4
EP300_disc6 1.6329 1.7648 ENCODE 1 1 1
EGR1_disc3 1.4763 1.6799 ENCODE 1 1 1
HDAC2_disc5 1.7132 2 ENCODE 1 1 1
REST_disc8 0.6571 0.6692 ENCODE 4 4 4
ATF3_disc3 0.6123 0.5751 ENCODE 4 4 4
ESRRA_disc2 0.925 0.8702 ENCODE 3 3 3
MYC_disc9 0.7926 0.6247 ENCODE 4 4 4
NR3C1_disc5 1.5392 1.5187 ENCODE 1 1 1
HMGN3_disc2 1.5235 2 ENCODE 1 1 1
BDP1_disc2 0.8255 0.8072 ENCODE 4 3 4
AP1_disc7 0.8997 1.0006 ENCODE 3 3 3
AP1_disc8 1.7438 2 ENCODE 1 1 1
TATA_disc6 1.4862 1.6168 ENCODE 1 1 1
ESRRA_disc3 0.8116 0.8005 ENCODE 4 3 4
MYC_disc10 0.7109 0.6225 ENCODE 4 4 4
TCF12_disc3 1.554 2 ENCODE 1 1 1
SPI1_disc3 0.715 0.4867 ENCODE 4 4 4
BCL_disc7 1.601 1.8313 ENCODE 1 1 1
ETS_disc6 1.347 1.37 ENCODE 1 2 2
TCF12_disc4 1.5869 1.7869 ENCODE 1 1 1
TATA_disc7 0.5955 0.598 ENCODE 4 4 4
CHD2_disc2 1.581 2 ENCODE 1 1 1
BATF_disc3 1.7408 2 ENCODE 1 1 1
NANOG_disc3 0.9659 0.8899 ENCODE 3 3 3
EGR1_disc4 1.2006 1.0505 ENCODE 2 3 3
TATA_disc8 0.7602 0.8171 ENCODE 4 3 4
SRF_disc2 0.739 1.0003 ENCODE 4 3 4
E2F_disc5 1.6539 2 ENCODE 1 1 1
TFAP2_disc2 0.8813 0.8451 ENCODE 3 3 3
AP1_disc9 1.6967 1.8313 ENCODE 1 1 1
NANOG_disc4 1.1742 1.1994 ENCODE 2 2 2
REST_disc9 0.6463 0.62 ENCODE 4 4 4
AP1_disc10 0.8128 0.677 ENCODE 4 4 4
GATA_disc4 1.704 2 ENCODE 1 1 1
EP300_disc7 1.7158 2 ENCODE 1 1 1
NR3C1_disc6 0.6381 0.4866 ENCODE 4 4 4
HNF4_disc3 1.7096 2 ENCODE 1 1 1
BDP1_disc3 0.8125 1.0065 ENCODE 4 3 4
E2F_disc6 1.1349 1.1489 ENCODE 2 2 2
SIN3A_disc4 1.7326 2 ENCODE 1 1 1
PAX5_disc5 1.1585 1.1318 ENCODE 2 2 2
YY1_disc2 1.8101 2 ENCODE 1 1 1
ZNF263_disc1 1.3109 1.3949 ENCODE 2 2 2
GATA_disc5 1.7446 2 ENCODE 1 1 1
ESRRA_disc4 0.5987 0.4742 ENCODE 4 4 4
FOXA_disc3 1.6589 1.7931 ENCODE 1 1 1
ZBTB7A_disc2 1.4672 1.7768 ENCODE 1 1 1
YY1_disc3 0.8111 0.6506 ENCODE 4 4 4
TATA_disc9 1.2516 1.182 ENCODE 2 2 2
TATA_disc10 0.7894 0.9328 ENCODE 4 3 4
SIN3A_disc5 0.8561 1.008 ENCODE 3 3 3
EGR1_disc5 1.547 1.613 ENCODE 1 1 1
EP300_disc8 1.0256 1.0479 ENCODE 3 3 3
BCL_disc8 0.6084 0.7956 ENCODE 4 3 4
HNF4_disc4 1.6739 2 ENCODE 1 1 1
RXRA_disc5 1.6837 2 ENCODE 1 1 1
ZBTB33_disc3 1.832 2 ENCODE 1 1 1
EBF1_disc2 0.7238 0.6092 ENCODE 4 4 4
TRIM28_disc2 1.6686 2 ENCODE 1 1 1
REST_disc10 1.3486 1.301 ENCODE 1 2 2
FOXA_disc4 1.7449 2 ENCODE 1 1 1
ELF1_disc2 0.8388 0.6061 ENCODE 4 4 4
ETS_disc7 0.61 0.467 ENCODE 4 4 4
FOXA_disc5 1.668 2 ENCODE 1 1 1
TCF12_disc5 0.8557 0.5454 ENCODE 3 4 4
SP2_disc3 1.833 2 ENCODE 1 1 1
STAT_disc5 1.5471 2 ENCODE 1 1 1
NR2C2_disc3 1.5326 2 ENCODE 1 1 1
SP1_disc2 1.6287 1.8594 ENCODE 1 1 1
E2F_disc7 0.8102 0.6772 ENCODE 4 4 4
TCF12_disc6 1.6277 2 ENCODE 1 1 1
HEY1_disc2 0.535 0.6756 ENCODE 4 4 4
NRF1_disc3 0.7859 0.7139 ENCODE 4 3 4
ATF3_disc4 0.7973 0.8861 ENCODE 4 3 4
SIN3A_disc6 0.6832 1.0093 ENCODE 4 3 4
BCL_disc9 0.5679 0.5411 ENCODE 4 4 4
YY1_disc4 0.5685 0.7076 ENCODE 4 3 4
ZNF143_disc4 0.7591 0.5649 ENCODE 4 4 4
